query_id,arm,repeat,execution_time_ms,planning_time_ms,wall_time_ms,root_total_cost,root_plan_rows,root_plan_width,hash_join_count,merge_join_count,nested_loop_count,seq_scan_count,index_scan_count,total_node_count,max_depth,status,error_message,plan_json
q467,no_nestloop,1,,,,,,,,,,,,,,error,"relation ""cast_info"" does not exist
LINE 5: FROM cast_info AS ci,
             ^
",
q468,default,1,,,,,,,,,,,,,,error,"relation ""cast_info"" does not exist
LINE 5: FROM cast_info AS ci,
             ^
",
q468,no_hashjoin,1,,,,,,,,,,,,,,error,"relation ""cast_info"" does not exist
LINE 5: FROM cast_info AS ci,
             ^
",
q468,no_mergejoin,1,,,,,,,,,,,,,,error,"relation ""cast_info"" does not exist
LINE 5: FROM cast_info AS ci,
             ^
",
q468,no_nestloop,1,,,,,,,,,,,,,,error,"relation ""cast_info"" does not exist
LINE 5: FROM cast_info AS ci,
             ^
",
q469,default,1,,,,,,,,,,,,,,error,"relation ""cast_info"" does not exist
LINE 5: FROM cast_info AS ci,
             ^
",
q469,no_hashjoin,1,,,,,,,,,,,,,,error,"relation ""cast_info"" does not exist
LINE 5: FROM cast_info AS ci,
             ^
",
q469,no_mergejoin,1,,,,,,,,,,,,,,error,"relation ""cast_info"" does not exist
LINE 5: FROM cast_info AS ci,
             ^
",
q469,no_nestloop,1,,,,,,,,,,,,,,error,"relation ""cast_info"" does not exist
LINE 5: FROM cast_info AS ci,
             ^
",
q47,default,1,,,,,,,,,,,,,,error,"relation ""company_name"" does not exist
LINE 4: FROM company_name AS cn,
             ^
",
q47,no_hashjoin,1,,,,,,,,,,,,,,error,"relation ""company_name"" does not exist
LINE 4: FROM company_name AS cn,
             ^
",
q47,no_mergejoin,1,,,,,,,,,,,,,,error,"relation ""company_name"" does not exist
LINE 4: FROM company_name AS cn,
             ^
",
q47,no_nestloop,1,,,,,,,,,,,,,,error,"relation ""company_name"" does not exist
LINE 4: FROM company_name AS cn,
             ^
",
q470,default,1,,,,,,,,,,,,,,error,"relation ""cast_info"" does not exist
LINE 5: FROM cast_info AS ci,
             ^
",
q470,no_hashjoin,1,,,,,,,,,,,,,,error,"relation ""cast_info"" does not exist
LINE 5: FROM cast_info AS ci,
             ^
",
q470,no_mergejoin,1,,,,,,,,,,,,,,error,"relation ""cast_info"" does not exist
LINE 5: FROM cast_info AS ci,
             ^
",
q470,no_nestloop,1,,,,,,,,,,,,,,error,"relation ""cast_info"" does not exist
LINE 5: FROM cast_info AS ci,
             ^
",
q471,default,1,,,,,,,,,,,,,,error,"relation ""cast_info"" does not exist
LINE 5: FROM cast_info AS ci,
             ^
",
q471,no_hashjoin,1,,,,,,,,,,,,,,error,"relation ""cast_info"" does not exist
LINE 5: FROM cast_info AS ci,
             ^
",
q471,no_mergejoin,1,,,,,,,,,,,,,,error,"relation ""cast_info"" does not exist
LINE 5: FROM cast_info AS ci,
             ^
",
q471,no_nestloop,1,,,,,,,,,,,,,,error,"relation ""cast_info"" does not exist
LINE 5: FROM cast_info AS ci,
             ^
",
q472,default,1,,,,,,,,,,,,,,error,"relation ""cast_info"" does not exist
LINE 5: FROM cast_info AS ci,
             ^
",
q472,no_hashjoin,1,,,,,,,,,,,,,,error,"relation ""cast_info"" does not exist
LINE 5: FROM cast_info AS ci,
             ^
",
q472,no_mergejoin,1,,,,,,,,,,,,,,error,"relation ""cast_info"" does not exist
LINE 5: FROM cast_info AS ci,
             ^
",
q472,no_nestloop,1,,,,,,,,,,,,,,error,"relation ""cast_info"" does not exist
LINE 5: FROM cast_info AS ci,
             ^
",
q473,default,1,,,,,,,,,,,,,,error,"relation ""cast_info"" does not exist
LINE 5: FROM cast_info AS ci,
             ^
",
q473,no_hashjoin,1,,,,,,,,,,,,,,error,"relation ""cast_info"" does not exist
LINE 5: FROM cast_info AS ci,
             ^
",
q473,no_mergejoin,1,,,,,,,,,,,,,,error,"relation ""cast_info"" does not exist
LINE 5: FROM cast_info AS ci,
             ^
",
q473,no_nestloop,1,,,,,,,,,,,,,,error,"relation ""cast_info"" does not exist
LINE 5: FROM cast_info AS ci,
             ^
",
q474,default,1,,,,,,,,,,,,,,error,"relation ""cast_info"" does not exist
LINE 5: FROM cast_info AS ci,
             ^
",
q474,no_hashjoin,1,,,,,,,,,,,,,,error,"relation ""cast_info"" does not exist
LINE 5: FROM cast_info AS ci,
             ^
",
q474,no_mergejoin,1,,,,,,,,,,,,,,error,"relation ""cast_info"" does not exist
LINE 5: FROM cast_info AS ci,
             ^
",
q474,no_nestloop,1,,,,,,,,,,,,,,error,"relation ""cast_info"" does not exist
LINE 5: FROM cast_info AS ci,
             ^
",
q475,default,1,,,,,,,,,,,,,,error,"relation ""cast_info"" does not exist
LINE 5: FROM cast_info AS ci,
             ^
",
q475,no_hashjoin,1,,,,,,,,,,,,,,error,"relation ""cast_info"" does not exist
LINE 5: FROM cast_info AS ci,
             ^
",
q475,no_mergejoin,1,,,,,,,,,,,,,,error,"relation ""cast_info"" does not exist
LINE 5: FROM cast_info AS ci,
             ^
",
q475,no_nestloop,1,,,,,,,,,,,,,,error,"relation ""cast_info"" does not exist
LINE 5: FROM cast_info AS ci,
             ^
",
q476,default,1,,,,,,,,,,,,,,error,"relation ""cast_info"" does not exist
LINE 5: FROM cast_info AS ci,
             ^
",
q476,no_hashjoin,1,,,,,,,,,,,,,,error,"relation ""cast_info"" does not exist
LINE 5: FROM cast_info AS ci,
             ^
",
q476,no_mergejoin,1,,,,,,,,,,,,,,error,"relation ""cast_info"" does not exist
LINE 5: FROM cast_info AS ci,
             ^
",
q476,no_nestloop,1,,,,,,,,,,,,,,error,"relation ""cast_info"" does not exist
LINE 5: FROM cast_info AS ci,
             ^
",
q477,default,1,,,,,,,,,,,,,,error,"relation ""cast_info"" does not exist
LINE 5: FROM cast_info AS ci,
             ^
",
q477,no_hashjoin,1,,,,,,,,,,,,,,error,"relation ""cast_info"" does not exist
LINE 5: FROM cast_info AS ci,
             ^
",
q477,no_mergejoin,1,,,,,,,,,,,,,,error,"relation ""cast_info"" does not exist
LINE 5: FROM cast_info AS ci,
             ^
",
q477,no_nestloop,1,,,,,,,,,,,,,,error,"relation ""cast_info"" does not exist
LINE 5: FROM cast_info AS ci,
             ^
",
q478,default,1,,,,,,,,,,,,,,error,"relation ""cast_info"" does not exist
LINE 5: FROM cast_info AS ci,
             ^
",
q478,no_hashjoin,1,,,,,,,,,,,,,,error,"relation ""cast_info"" does not exist
LINE 5: FROM cast_info AS ci,
             ^
",
q478,no_mergejoin,1,,,,,,,,,,,,,,error,"relation ""cast_info"" does not exist
LINE 5: FROM cast_info AS ci,
             ^
",
q478,no_nestloop,1,,,,,,,,,,,,,,error,"relation ""cast_info"" does not exist
LINE 5: FROM cast_info AS ci,
             ^
",
q479,default,1,,,,,,,,,,,,,,error,"relation ""cast_info"" does not exist
LINE 5: FROM cast_info AS ci,
             ^
",
q479,no_hashjoin,1,,,,,,,,,,,,,,error,"relation ""cast_info"" does not exist
LINE 5: FROM cast_info AS ci,
             ^
",
q479,no_mergejoin,1,,,,,,,,,,,,,,error,"relation ""cast_info"" does not exist
LINE 5: FROM cast_info AS ci,
             ^
",
q479,no_nestloop,1,,,,,,,,,,,,,,error,"relation ""cast_info"" does not exist
LINE 5: FROM cast_info AS ci,
             ^
",
q48,default,1,,,,,,,,,,,,,,error,"relation ""company_name"" does not exist
LINE 4: FROM company_name AS cn,
             ^
",
q48,no_hashjoin,1,,,,,,,,,,,,,,error,"relation ""company_name"" does not exist
LINE 4: FROM company_name AS cn,
             ^
",
q48,no_mergejoin,1,,,,,,,,,,,,,,error,"relation ""company_name"" does not exist
LINE 4: FROM company_name AS cn,
             ^
",
q48,no_nestloop,1,,,,,,,,,,,,,,error,"relation ""company_name"" does not exist
LINE 4: FROM company_name AS cn,
             ^
",
q480,default,1,,,,,,,,,,,,,,error,"relation ""complete_cast"" does not exist
LINE 5: FROM complete_cast AS cc,
             ^
",
q480,no_hashjoin,1,,,,,,,,,,,,,,error,"relation ""complete_cast"" does not exist
LINE 5: FROM complete_cast AS cc,
             ^
",
q480,no_mergejoin,1,,,,,,,,,,,,,,error,"relation ""complete_cast"" does not exist
LINE 5: FROM complete_cast AS cc,
             ^
",
q480,no_nestloop,1,,,,,,,,,,,,,,error,"relation ""complete_cast"" does not exist
LINE 5: FROM complete_cast AS cc,
             ^
",
q481,default,1,,,,,,,,,,,,,,error,"relation ""complete_cast"" does not exist
LINE 5: FROM complete_cast AS cc,
             ^
",
q481,no_hashjoin,1,,,,,,,,,,,,,,error,"relation ""complete_cast"" does not exist
LINE 5: FROM complete_cast AS cc,
             ^
",
q481,no_mergejoin,1,,,,,,,,,,,,,,error,"relation ""complete_cast"" does not exist
LINE 5: FROM complete_cast AS cc,
             ^
",
q481,no_nestloop,1,,,,,,,,,,,,,,error,"relation ""complete_cast"" does not exist
LINE 5: FROM complete_cast AS cc,
             ^
",
q482,default,1,,,,,,,,,,,,,,error,"relation ""complete_cast"" does not exist
LINE 5: FROM complete_cast AS cc,
             ^
",
q482,no_hashjoin,1,,,,,,,,,,,,,,error,"relation ""complete_cast"" does not exist
LINE 5: FROM complete_cast AS cc,
             ^
",
q482,no_mergejoin,1,,,,,,,,,,,,,,error,"relation ""complete_cast"" does not exist
LINE 5: FROM complete_cast AS cc,
             ^
",
q482,no_nestloop,1,,,,,,,,,,,,,,error,"relation ""complete_cast"" does not exist
LINE 5: FROM complete_cast AS cc,
             ^
",
q483,default,1,,,,,,,,,,,,,,error,"relation ""complete_cast"" does not exist
LINE 5: FROM complete_cast AS cc,
             ^
",
q483,no_hashjoin,1,,,,,,,,,,,,,,error,"relation ""complete_cast"" does not exist
LINE 5: FROM complete_cast AS cc,
             ^
",
q483,no_mergejoin,1,,,,,,,,,,,,,,error,"relation ""complete_cast"" does not exist
LINE 5: FROM complete_cast AS cc,
             ^
",
q483,no_nestloop,1,,,,,,,,,,,,,,error,"relation ""complete_cast"" does not exist
LINE 5: FROM complete_cast AS cc,
             ^
",
q484,default,1,,,,,,,,,,,,,,error,"relation ""complete_cast"" does not exist
LINE 5: FROM complete_cast AS cc,
             ^
",
q484,no_hashjoin,1,,,,,,,,,,,,,,error,"relation ""complete_cast"" does not exist
LINE 5: FROM complete_cast AS cc,
             ^
",
q484,no_mergejoin,1,,,,,,,,,,,,,,error,"relation ""complete_cast"" does not exist
LINE 5: FROM complete_cast AS cc,
             ^
",
q484,no_nestloop,1,,,,,,,,,,,,,,error,"relation ""complete_cast"" does not exist
LINE 5: FROM complete_cast AS cc,
             ^
",
q485,default,1,,,,,,,,,,,,,,error,"relation ""complete_cast"" does not exist
LINE 5: FROM complete_cast AS cc,
             ^
",
q485,no_hashjoin,1,,,,,,,,,,,,,,error,"relation ""complete_cast"" does not exist
LINE 5: FROM complete_cast AS cc,
             ^
",
q485,no_mergejoin,1,,,,,,,,,,,,,,error,"relation ""complete_cast"" does not exist
LINE 5: FROM complete_cast AS cc,
             ^
",
q485,no_nestloop,1,,,,,,,,,,,,,,error,"relation ""complete_cast"" does not exist
LINE 5: FROM complete_cast AS cc,
             ^
",
q486,default,1,,,,,,,,,,,,,,error,"relation ""complete_cast"" does not exist
LINE 5: FROM complete_cast AS cc,
             ^
",
q486,no_hashjoin,1,,,,,,,,,,,,,,error,"relation ""complete_cast"" does not exist
LINE 5: FROM complete_cast AS cc,
             ^
",
q486,no_mergejoin,1,,,,,,,,,,,,,,error,"relation ""complete_cast"" does not exist
LINE 5: FROM complete_cast AS cc,
             ^
",
q486,no_nestloop,1,,,,,,,,,,,,,,error,"relation ""complete_cast"" does not exist
LINE 5: FROM complete_cast AS cc,
             ^
",
q487,default,1,,,,,,,,,,,,,,error,"relation ""complete_cast"" does not exist
LINE 5: FROM complete_cast AS cc,
             ^
",
q487,no_hashjoin,1,,,,,,,,,,,,,,error,"relation ""complete_cast"" does not exist
LINE 5: FROM complete_cast AS cc,
             ^
",
q487,no_mergejoin,1,,,,,,,,,,,,,,error,"relation ""complete_cast"" does not exist
LINE 5: FROM complete_cast AS cc,
             ^
",
q487,no_nestloop,1,,,,,,,,,,,,,,error,"relation ""complete_cast"" does not exist
LINE 5: FROM complete_cast AS cc,
             ^
",
q488,default,1,,,,,,,,,,,,,,error,"relation ""complete_cast"" does not exist
LINE 4: FROM complete_cast AS cc,
             ^
",
q488,no_hashjoin,1,,,,,,,,,,,,,,error,"relation ""complete_cast"" does not exist
LINE 4: FROM complete_cast AS cc,
             ^
",
q488,no_mergejoin,1,,,,,,,,,,,,,,error,"relation ""complete_cast"" does not exist
LINE 4: FROM complete_cast AS cc,
             ^
",
q488,no_nestloop,1,,,,,,,,,,,,,,error,"relation ""complete_cast"" does not exist
LINE 4: FROM complete_cast AS cc,
             ^
",
q489,default,1,,,,,,,,,,,,,,error,"relation ""complete_cast"" does not exist
LINE 4: FROM complete_cast AS cc,
             ^
",
q489,no_hashjoin,1,,,,,,,,,,,,,,error,"relation ""complete_cast"" does not exist
LINE 4: FROM complete_cast AS cc,
             ^
",
q489,no_mergejoin,1,,,,,,,,,,,,,,error,"relation ""complete_cast"" does not exist
LINE 4: FROM complete_cast AS cc,
             ^
",
q489,no_nestloop,1,,,,,,,,,,,,,,error,"relation ""complete_cast"" does not exist
LINE 4: FROM complete_cast AS cc,
             ^
",
q49,default,1,,,,,,,,,,,,,,error,"relation ""company_name"" does not exist
LINE 4: FROM company_name AS cn,
             ^
",
q49,no_hashjoin,1,,,,,,,,,,,,,,error,"relation ""company_name"" does not exist
LINE 4: FROM company_name AS cn,
             ^
",
q49,no_mergejoin,1,,,,,,,,,,,,,,error,"relation ""company_name"" does not exist
LINE 4: FROM company_name AS cn,
             ^
",
q49,no_nestloop,1,,,,,,,,,,,,,,error,"relation ""company_name"" does not exist
LINE 4: FROM company_name AS cn,
             ^
",
q490,default,1,,,,,,,,,,,,,,error,"relation ""complete_cast"" does not exist
LINE 4: FROM complete_cast AS cc,
             ^
",
q490,no_hashjoin,1,,,,,,,,,,,,,,error,"relation ""complete_cast"" does not exist
LINE 4: FROM complete_cast AS cc,
             ^
",
q490,no_mergejoin,1,,,,,,,,,,,,,,error,"relation ""complete_cast"" does not exist
LINE 4: FROM complete_cast AS cc,
             ^
",
q490,no_nestloop,1,,,,,,,,,,,,,,error,"relation ""complete_cast"" does not exist
LINE 4: FROM complete_cast AS cc,
             ^
",
q491,default,1,,,,,,,,,,,,,,error,"relation ""complete_cast"" does not exist
LINE 4: FROM complete_cast AS cc,
             ^
",
q491,no_hashjoin,1,,,,,,,,,,,,,,error,"relation ""complete_cast"" does not exist
LINE 4: FROM complete_cast AS cc,
             ^
",
q491,no_mergejoin,1,,,,,,,,,,,,,,error,"relation ""complete_cast"" does not exist
LINE 4: FROM complete_cast AS cc,
             ^
",
q491,no_nestloop,1,,,,,,,,,,,,,,error,"relation ""complete_cast"" does not exist
LINE 4: FROM complete_cast AS cc,
             ^
",
q492,default,1,,,,,,,,,,,,,,error,"relation ""complete_cast"" does not exist
LINE 4: FROM complete_cast AS cc,
             ^
",
q492,no_hashjoin,1,,,,,,,,,,,,,,error,"relation ""complete_cast"" does not exist
LINE 4: FROM complete_cast AS cc,
             ^
",
q492,no_mergejoin,1,,,,,,,,,,,,,,error,"relation ""complete_cast"" does not exist
LINE 4: FROM complete_cast AS cc,
             ^
",
q492,no_nestloop,1,,,,,,,,,,,,,,error,"relation ""complete_cast"" does not exist
LINE 4: FROM complete_cast AS cc,
             ^
",
q493,default,1,,,,,,,,,,,,,,error,"relation ""complete_cast"" does not exist
LINE 4: FROM complete_cast AS cc,
             ^
",
q493,no_hashjoin,1,,,,,,,,,,,,,,error,"relation ""complete_cast"" does not exist
LINE 4: FROM complete_cast AS cc,
             ^
",
q493,no_mergejoin,1,,,,,,,,,,,,,,error,"relation ""complete_cast"" does not exist
LINE 4: FROM complete_cast AS cc,
             ^
",
q493,no_nestloop,1,,,,,,,,,,,,,,error,"relation ""complete_cast"" does not exist
LINE 4: FROM complete_cast AS cc,
             ^
",
q494,default,1,,,,,,,,,,,,,,error,"relation ""complete_cast"" does not exist
LINE 4: FROM complete_cast AS cc,
             ^
",
q494,no_hashjoin,1,,,,,,,,,,,,,,error,"relation ""complete_cast"" does not exist
LINE 4: FROM complete_cast AS cc,
             ^
",
q494,no_mergejoin,1,,,,,,,,,,,,,,error,"relation ""complete_cast"" does not exist
LINE 4: FROM complete_cast AS cc,
             ^
",
q494,no_nestloop,1,,,,,,,,,,,,,,error,"relation ""complete_cast"" does not exist
LINE 4: FROM complete_cast AS cc,
             ^
",
q495,default,1,,,,,,,,,,,,,,error,"relation ""complete_cast"" does not exist
LINE 4: FROM complete_cast AS cc,
             ^
",
q495,no_hashjoin,1,,,,,,,,,,,,,,error,"relation ""complete_cast"" does not exist
LINE 4: FROM complete_cast AS cc,
             ^
",
q495,no_mergejoin,1,,,,,,,,,,,,,,error,"relation ""complete_cast"" does not exist
LINE 4: FROM complete_cast AS cc,
             ^
",
q495,no_nestloop,1,,,,,,,,,,,,,,error,"relation ""complete_cast"" does not exist
LINE 4: FROM complete_cast AS cc,
             ^
",
q496,default,1,,,,,,,,,,,,,,error,"relation ""complete_cast"" does not exist
LINE 4: FROM complete_cast AS cc,
             ^
",
q496,no_hashjoin,1,,,,,,,,,,,,,,error,"relation ""complete_cast"" does not exist
LINE 4: FROM complete_cast AS cc,
             ^
",
q496,no_mergejoin,1,,,,,,,,,,,,,,error,"relation ""complete_cast"" does not exist
LINE 4: FROM complete_cast AS cc,
             ^
",
q496,no_nestloop,1,,,,,,,,,,,,,,error,"relation ""complete_cast"" does not exist
LINE 4: FROM complete_cast AS cc,
             ^
",
q497,default,1,,,,,,,,,,,,,,error,"relation ""complete_cast"" does not exist
LINE 4: FROM complete_cast AS cc,
             ^
",
q497,no_hashjoin,1,,,,,,,,,,,,,,error,"relation ""complete_cast"" does not exist
LINE 4: FROM complete_cast AS cc,
             ^
",
q497,no_mergejoin,1,,,,,,,,,,,,,,error,"relation ""complete_cast"" does not exist
LINE 4: FROM complete_cast AS cc,
             ^
",
q497,no_nestloop,1,,,,,,,,,,,,,,error,"relation ""complete_cast"" does not exist
LINE 4: FROM complete_cast AS cc,
             ^
",
q498,default,1,,,,,,,,,,,,,,error,"relation ""complete_cast"" does not exist
LINE 4: FROM complete_cast AS cc,
             ^
",
q498,no_hashjoin,1,,,,,,,,,,,,,,error,"relation ""complete_cast"" does not exist
LINE 4: FROM complete_cast AS cc,
             ^
",
q498,no_mergejoin,1,,,,,,,,,,,,,,error,"relation ""complete_cast"" does not exist
LINE 4: FROM complete_cast AS cc,
             ^
",
q498,no_nestloop,1,,,,,,,,,,,,,,error,"relation ""complete_cast"" does not exist
LINE 4: FROM complete_cast AS cc,
             ^
",
q499,default,1,,,,,,,,,,,,,,error,"relation ""complete_cast"" does not exist
LINE 4: FROM complete_cast AS cc,
             ^
",
q499,no_hashjoin,1,,,,,,,,,,,,,,error,"relation ""complete_cast"" does not exist
LINE 4: FROM complete_cast AS cc,
             ^
",
q499,no_mergejoin,1,,,,,,,,,,,,,,error,"relation ""complete_cast"" does not exist
LINE 4: FROM complete_cast AS cc,
             ^
",
q499,no_nestloop,1,,,,,,,,,,,,,,error,"relation ""complete_cast"" does not exist
LINE 4: FROM complete_cast AS cc,
             ^
",
q5,default,1,,,,,,,,,,,,,,error,"relation ""char_name"" does not exist
LINE 3: FROM char_name AS chn,
             ^
",
