query_id,oracle_arm,oracle_runtime,default_runtime,default_regret
job_10a,no_hashjoin,382.286,560.1753333333332,177.88933333333324
job_10b,no_hashjoin,150.57233333333332,415.68966666666665,265.11733333333336
job_10c,no_nestloop,4155.773666666667,4163.991333333333,8.217666666666446
job_11a,default,82.09833333333334,82.09833333333334,0.0
job_11b,no_hashjoin,31.84133333333333,35.519666666666666,3.6783333333333346
job_11c,no_hashjoin,166.88633333333334,169.66133333333332,2.7749999999999773
job_11d,no_mergejoin,153.82833333333335,163.50166666666667,9.673333333333318
job_12a,no_mergejoin,265.84566666666666,303.25,37.40433333333334
job_12b,no_hashjoin,0.5673333333333334,165.31666666666666,164.74933333333334
job_12c,no_mergejoin,933.891,1003.9126666666666,70.02166666666665
job_13a,default,1847.146,1847.146,0.0
job_13b,default,769.199,769.199,0.0
job_13c,default,780.607,780.607,0.0
job_13d,default,2982.456333333333,2982.4563333333335,4.547473508864641e-13
job_14a,no_hashjoin,232.54866666666663,384.4113333333333,151.86266666666666
job_14b,no_mergejoin,86.50633333333333,106.165,19.658666666666676
job_14c,no_mergejoin,459.0726666666667,465.04400000000004,5.971333333333348
job_15a,no_mergejoin,384.5993333333333,490.19266666666664,105.59333333333336
job_15b,default,44.05033333333333,44.050333333333334,7.105427357601002e-15
job_15c,no_hashjoin,832.006,955.9603333333333,123.95433333333335
job_15d,default,916.7853333333333,916.7853333333333,0.0
job_16a,no_hashjoin,135.408,140.66433333333333,5.256333333333345
job_16b,no_nestloop,15446.581,23060.109333333337,7613.528333333337
job_16c,no_hashjoin,1610.9513333333334,1924.1283333333333,313.1769999999999
job_16d,default,1192.4896666666666,1192.4896666666666,0.0
job_17a,no_nestloop,8891.386333333334,12889.798999999999,3998.4126666666652
job_17b,no_nestloop,5447.6466666666665,6291.407666666666,843.7609999999995
job_17c,no_nestloop,5208.902999999999,5919.892,710.9890000000005
job_17d,no_nestloop,4940.2063333333335,5757.615333333334,817.4090000000006
job_17e,no_nestloop,7465.783666666666,11818.947333333335,4353.163666666669
job_17f,no_nestloop,8361.506,10222.381666666666,1860.8756666666668
job_18a,default,3914.938666666667,3914.938666666667,0.0
job_18b,no_mergejoin,256.386,289.74033333333335,33.35433333333333
job_18c,no_hashjoin,4374.579000000001,4517.3516666666665,142.77266666666583
job_19a,no_hashjoin,2273.8966666666665,2495.7736666666665,221.87699999999995
job_19b,default,230.96400000000003,230.96400000000003,0.0
job_19c,default,2824.4323333333336,2824.4323333333336,0.0
job_19d,default,8596.439333333334,8596.439333333334,0.0
job_1a,no_hashjoin,7.037,189.81533333333334,182.77833333333334
job_1b,no_hashjoin,0.282,160.1436666666667,159.86166666666668
job_1c,no_hashjoin,4.574666666666666,115.31266666666666,110.73799999999999
job_1d,no_hashjoin,0.2299999999999999,208.0716666666667,207.8416666666667
job_20a,no_mergejoin,2097.244666666667,2196.1820000000002,98.9373333333333
job_20b,default,1621.3803333333333,1621.3803333333333,0.0
job_20c,no_mergejoin,1184.602666666667,1501.5019999999997,316.89933333333283
job_21a,no_mergejoin,67.44633333333333,69.43366666666667,1.9873333333333392
job_21b,no_mergejoin,66.334,75.47966666666667,9.14566666666667
job_21c,default,66.69566666666667,66.69566666666667,0.0
job_22a,no_mergejoin,355.27700000000004,448.4883333333333,93.21133333333324
job_22b,no_mergejoin,203.01366666666664,206.10366666666667,3.090000000000032
job_22c,no_mergejoin,1895.527,1911.0133333333333,15.486333333333278
job_22d,no_mergejoin,732.9900000000001,746.5196666666667,13.529666666666571
job_23a,no_hashjoin,155.28799999999998,379.5883333333333,224.30033333333333
job_23b,no_mergejoin,46.48133333333334,47.85066666666666,1.3693333333333229
job_23c,default,492.7253333333333,492.7253333333333,0.0
job_24a,no_mergejoin,227.63033333333337,414.30300000000005,186.6726666666667
job_24b,no_hashjoin,39.75133333333333,48.66,8.908666666666669
job_25a,no_mergejoin,1415.3016666666665,1857.8590000000002,442.55733333333364
