"query_id","arm","runtime_ms","node_type","startup_cost","total_cost","plan_rows","plan_width","actual_rows","actual_total_time","oracle_arm","oracle_runtime","regret_ms"
"job_7c","no_nestloop","9853.019","Aggregate","697298.29","697298.3","1","64","1","9843.713","default","3263.748","6589.271000000001"
"job_7c","no_nestloop","10719.056","Aggregate","697298.29","697298.3","1","64","1","10703.036","default","3263.748","7455.308000000001"
"job_7c","no_mergejoin","3352.582","Aggregate","57843.37","57843.38","1","64","1","3352.485","default","3263.748","88.83399999999983"
"job_7c","no_mergejoin","3634.625","Aggregate","57843.37","57843.38","1","64","1","3634.52","default","3263.748","370.87699999999995"
"job_7c","no_mergejoin","3138.315","Aggregate","57843.37","57843.38","1","64","1","3138.249","default","3263.748","-125.43299999999999"
"job_13b","no_hashjoin","1032.763","Aggregate","29251.68","29251.69","1","96","1","1032.68","default","769.199","263.56399999999996"
"job_8c","no_mergejoin","6593.844","Aggregate","527971.17","527971.18","1","64","1","6588.832","default","5594.967333333334","998.8766666666661"
"job_13b","no_hashjoin","1042.276","Aggregate","29251.68","29251.69","1","96","1","1042.202","default","769.199","273.0770000000001"
"job_13b","no_hashjoin","1069.459","Aggregate","29251.68","29251.69","1","96","1","1069.368","default","769.199","300.2600000000001"
"job_13b","default","799.423","Aggregate","19206.27","19206.28","1","96","1","799.34","default","769.199","30.224000000000046"
"job_13b","default","755.848","Aggregate","19206.27","19206.28","1","96","1","755.752","default","769.199","-13.350999999999999"
"job_13b","default","752.326","Aggregate","19206.27","19206.28","1","96","1","752.237","default","769.199","-16.872999999999934"
"job_13b","no_nestloop","2828.56","Aggregate","348976.31","348976.32","1","96","1","2821.533","default","769.199","2059.361"
"job_13b","no_nestloop","2845.014","Aggregate","348976.31","348976.32","1","96","1","2836.666","default","769.199","2075.815"
"job_13b","no_nestloop","2790.429","Aggregate","348976.31","348976.32","1","96","1","2783.301","default","769.199","2021.23"
"job_13b","no_mergejoin","772.809","Aggregate","19206.27","19206.28","1","96","1","772.719","default","769.199","3.6100000000000136"
"job_13b","no_mergejoin","827.877","Aggregate","19206.27","19206.28","1","96","1","827.787","default","769.199","58.678"
"job_13b","no_mergejoin","731.611","Aggregate","19206.27","19206.28","1","96","1","731.517","default","769.199","-37.587999999999965"
"job_10b","no_mergejoin","370.924","Aggregate","43525.36","43525.37","1","64","1","370.853","no_hashjoin","150.57233333333332","220.35166666666666"
"job_10b","no_mergejoin","432.822","Aggregate","43525.36","43525.37","1","64","1","432.744","no_hashjoin","150.57233333333332","282.2496666666667"
"job_10b","no_mergejoin","423.02","Aggregate","43525.36","43525.37","1","64","1","422.944","no_hashjoin","150.57233333333332","272.4476666666667"
"job_10b","no_nestloop","3997.417","Aggregate","613128.91","613128.92","1","64","1","3985.522","no_hashjoin","150.57233333333332","3846.8446666666664"
"job_10b","no_hashjoin","163.453","Aggregate","49257.75","49257.76","1","64","1","163.366","no_hashjoin","150.57233333333332","12.880666666666684"
"job_10b","no_hashjoin","141.706","Aggregate","49257.75","49257.76","1","64","1","141.621","no_hashjoin","150.57233333333332","-8.86633333333333"
"job_10b","no_hashjoin","146.558","Aggregate","49257.75","49257.76","1","64","1","146.487","no_hashjoin","150.57233333333332","-4.014333333333326"
"job_10b","default","459.11","Aggregate","43525.36","43525.37","1","64","1","459.038","no_hashjoin","150.57233333333332","308.5376666666667"
"job_10b","default","416.598","Aggregate","43525.36","43525.37","1","64","1","416.51","no_hashjoin","150.57233333333332","266.02566666666667"
"job_10b","default","371.361","Aggregate","43525.36","43525.37","1","64","1","371.291","no_hashjoin","150.57233333333332","220.78866666666667"
"job_30a","default","3273.361","Aggregate","8743.62","8743.63","1","128","1","3273.186","no_hashjoin","2060.6766666666667","1212.6843333333331"
"job_12a","no_nestloop","1755.488","Aggregate","346919.16","346919.17","1","96","1","1749.01","no_mergejoin","265.84566666666666","1489.6423333333335"
"job_30a","default","2378.502","Aggregate","8743.62","8743.63","1","128","1","2378.324","no_hashjoin","2060.6766666666667","317.8253333333332"
"job_30a","default","2533.518","Aggregate","8743.62","8743.63","1","128","1","2533.384","no_hashjoin","2060.6766666666667","472.8413333333333"
"job_30a","no_nestloop","5519.159","Aggregate","944592.29","944592.3","1","128","1","5507.769","no_hashjoin","2060.6766666666667","3458.482333333333"
"job_30a","no_nestloop","5393.889","Aggregate","944592.29","944592.3","1","128","1","5383.355","no_hashjoin","2060.6766666666667","3333.2123333333334"
"job_30a","no_nestloop","5286.022","Aggregate","944592.29","944592.3","1","128","1","5275.917","no_hashjoin","2060.6766666666667","3225.345333333333"
"job_30a","no_mergejoin","2823.29","Aggregate","8743.62","8743.63","1","128","1","2823.135","no_hashjoin","2060.6766666666667","762.6133333333332"
"job_30a","no_mergejoin","2627.346","Aggregate","8743.62","8743.63","1","128","1","2627.212","no_hashjoin","2060.6766666666667","566.6693333333333"
"job_30a","no_mergejoin","2390.794","Aggregate","8743.62","8743.63","1","128","1","2390.643","no_hashjoin","2060.6766666666667","330.11733333333314"
"job_30a","no_hashjoin","2045.123","Aggregate","8756.38","8756.39","1","128","1","2043.983","no_hashjoin","2060.6766666666667","-15.553666666666686"
"job_30a","no_hashjoin","2086.238","Aggregate","8756.38","8756.39","1","128","1","2085.159","no_hashjoin","2060.6766666666667","25.561333333333096"
"job_30a","no_hashjoin","2050.669","Aggregate","8756.38","8756.39","1","128","1","2049.604","no_hashjoin","2060.6766666666667","-10.007666666666864"
"job_12a","no_nestloop","1738.366","Aggregate","346919.16","346919.17","1","96","1","1732.074","no_mergejoin","265.84566666666666","1472.5203333333334"
"job_12a","no_nestloop","1898.442","Aggregate","346919.16","346919.17","1","96","1","1891.531","no_mergejoin","265.84566666666666","1632.5963333333334"
"job_12a","default","298.878","Aggregate","16855.6","16855.61","1","96","1","298.789","no_mergejoin","265.84566666666666","33.03233333333333"
"job_12a","default","305.138","Aggregate","16855.6","16855.61","1","96","1","305.038","no_mergejoin","265.84566666666666","39.29233333333332"
"job_12a","default","305.734","Aggregate","16855.6","16855.61","1","96","1","305.64","no_mergejoin","265.84566666666666","39.88833333333332"
"job_12a","no_hashjoin","296.959","Aggregate","18464.62","18464.63","1","96","1","296.852","no_mergejoin","265.84566666666666","31.113333333333344"
"job_12a","no_hashjoin","272.649","Aggregate","18464.62","18464.63","1","96","1","272.543","no_mergejoin","265.84566666666666","6.803333333333342"
"job_12a","no_hashjoin","271.214","Aggregate","18464.62","18464.63","1","96","1","271.121","no_mergejoin","265.84566666666666","5.368333333333339"
"job_12a","no_mergejoin","269.309","Aggregate","16855.6","16855.61","1","96","1","269.225","no_mergejoin","265.84566666666666","3.4633333333333667"
"job_2c","no_mergejoin","492.793","Aggregate","3850.46","3850.47","1","32","1","492.745","no_mergejoin","497.75533333333334","-4.9623333333333335"
"job_12a","no_mergejoin","263.119","Aggregate","16855.6","16855.61","1","96","1","263.039","no_mergejoin","265.84566666666666","-2.726666666666631"
"job_12a","no_mergejoin","265.109","Aggregate","16855.6","16855.61","1","96","1","265.03","no_mergejoin","265.84566666666666","-0.7366666666666788"
"job_8c","no_nestloop","7783.623","Aggregate","786890.97","786890.98","1","64","1","7777.426","default","5594.967333333334","2188.6556666666656"
"job_8c","no_nestloop","8167.151","Aggregate","786890.97","786890.98","1","64","1","8160.84","default","5594.967333333334","2572.183666666666"
"job_8c","no_nestloop","7588.245","Aggregate","786890.97","786890.98","1","64","1","7582.146","default","5594.967333333334","1993.277666666666"
"job_8c","no_hashjoin","10003.036","Aggregate","1264733.26","1264733.27","1","64","1","9976.907","default","5594.967333333334","4408.068666666666"
"job_8c","no_hashjoin","10100.914","Aggregate","1264733.26","1264733.27","1","64","1","10081.571","default","5594.967333333334","4505.946666666667"
"job_8c","no_hashjoin","9811.614","Aggregate","1264733.26","1264733.27","1","64","1","9790.588","default","5594.967333333334","4216.646666666666"
"job_8c","default","5597.868","Aggregate","527971.17","527971.18","1","64","1","5592.695","default","5594.967333333334","2.9006666666664387"
"job_8c","default","5599.17","Aggregate","527971.17","527971.18","1","64","1","5594.015","default","5594.967333333334","4.2026666666661185"
